1	1	2	28	27	79	156	104	154	206
2	2	3	29	28	80	158	105	156	207
3	3	4	30	29	81	160	106	158	208
4	4	5	31	30	82	162	107	160	209
5	5	6	32	31	83	164	108	162	210
6	6	7	33	32	84	166	109	164	211
7	7	8	34	33	85	168	110	166	212
8	8	9	35	34	86	170	111	168	213
9	9	10	36	35	87	172	112	170	214
10	10	11	37	36	88	174	113	172	215
11	11	12	38	37	89	176	114	174	216
12	12	13	39	38	90	178	115	176	217
13	13	14	40	39	91	180	116	178	218
14	14	15	41	40	92	182	117	180	219
15	15	16	42	41	93	184	118	182	220
16	16	17	43	42	94	186	119	184	221
17	17	18	44	43	95	188	120	186	222
18	18	19	45	44	96	190	121	188	223
19	19	20	46	45	97	192	122	190	224
20	20	21	47	46	98	194	123	192	225
21	21	22	48	47	99	196	124	194	226
22	22	23	49	48	100	198	125	196	227
23	23	24	50	49	101	200	126	198	228
24	24	25	51	50	102	202	127	200	229
25	25	26	52	51	103	204	128	202	230
26	27	28	54	53	104	157	129	155	231
27	28	29	55	54	105	159	130	157	232
28	29	30	56	55	106	161	131	159	233
29	30	31	57	56	107	163	132	161	234
30	31	32	58	57	108	165	133	163	235
31	32	33	59	58	109	167	134	165	236
32	33	34	60	59	110	169	135	167	237
33	34	35	61	60	111	171	136	169	238
34	35	36	62	61	112	173	137	171	239
35	36	37	63	62	113	175	138	173	240
36	37	38	64	63	114	177	139	175	241
37	38	39	65	64	115	179	140	177	242
38	39	40	66	65	116	181	141	179	243
39	40	41	67	66	117	183	142	181	244
40	41	42	68	67	118	185	143	183	245
41	42	43	69	68	119	187	144	185	246
42	43	44	70	69	120	189	145	187	247
43	44	45	71	70	121	191	146	189	248
44	45	46	72	71	122	193	147	191	249
45	46	47	73	72	123	195	148	193	250
46	47	48	74	73	124	197	149	195	251
47	48	49	75	74	125	199	150	197	252
48	49	50	76	75	126	201	151	199	253
49	50	51	77	76	127	203	152	201	254
50	51	52	78	77	128	205	153	203	255

1   0.0  0.0013    0.0013 0
2   0.0 -0.0013    0.0013 0
3   0.0 -0.0013   -0.0013 0
4   0.0  0.0013   -0.0013 0

